PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Mohammad Shami,Indian,Bowler,"6,25,00,000",2
David Miller,Overseas,Batsman,"3,00,00,000",2
Jason Roy,Overseas,Batsman,"2,00,00,000",2
Wriddhiman  Saha,Indian,Wicket Keeper,"1,90,00,000",2
Matthew Wade,Overseas,Wicket Keeper,"2,40,00,000",2
Lockie Ferguson,Overseas,Bowler,"10,00,00,000",2
Abhinav Sadarangani,Indian,Batsman,"2,60,00,000",2
Rahul Tewatia,Indian,All-Rounder,"9,00,00,000",2
Noor  Ahmad,Overseas,Bowler,"30,00,000",2
R. Sai Kishore,Indian,Bowler,"3,00,00,000",2
Dominic Drakes,Overseas,All-Rounder,"1,10,00,000",2
Vijay Shankar,Indian,All-Rounder,"1,40,00,000",2
Jayant Yadav,Indian,All-Rounder,"1,70,00,000",2
Darshan Nalkande,Indian,All-Rounder,"20,00,000",2
Yash  Dayal,Indian,Bowler,"3,20,00,000",2
B. Sai Sudharsan,Indian,All-Rounder,"20,00,000",2
Gurkeerat Singh,Indian,All-Rounder,"50,00,000",2
Alzarri Joseph,Overseas,Bowler,"2,40,00,000",2
Varun Aaron,Indian,Bowler,"50,00,000",2
Pradeep Sangwan,Indian,All-Rounder,"20,00,000",2
